# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,method,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0,mean_final_overlap_mm3,sim_n_success,sim_baseline_mean_LD,sim_final_mean_LD,sim_mean_dLD,sim_median_dLD,sim_mean_dCD0,sim_mean_dCD,sim_final_vlm_ok_rate,n_starts,benchmark_id,run_id
d,eng_log_huber_100k,trust_region_hybrid,Trust-region top-x cloud (no shrinkage),reg,1.0,,79,17,100,79,0.15155758065843697,0.3826466086166802,9.582278481012658,34677.06950161704,79,544.6069948375615,15.253966025159338,-529.3530288124019,0.07956821780174117,9.821078422349046e-05,-0.03351069401781047,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid__eng_log_huber_100k
d,eng_log_huber_100k,trust_region_hybrid,Trust-region top-x cloud (no shrinkage),reg,0.5,,92,3,100,92,0.1560564700823693,0.4015136979264345,9.51086956521739,34658.2765907106,79,544.6069948375615,15.253966025159338,-529.3530288124019,0.07956821780174117,9.821078422349046e-05,-0.03351069401781047,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid__eng_log_huber_100k
d,eng_log_huber_100k,trust_region_hybrid,Trust-region top-x cloud (no shrinkage),reg,0.1,,94,1,100,94,0.19476161207689338,0.5033562692330042,9.787234042553191,34658.23938483331,79,544.6069948375615,15.253966025159338,-529.3530288124019,0.07956821780174117,9.821078422349046e-05,-0.03351069401781047,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid__eng_log_huber_100k
d,eng_log_huber_100k,trust_region_hybrid,Trust-region top-x cloud (no shrinkage),reg,0.01,,95,0,100,95,0.23806144325013706,0.6095432080851376,9.715789473684211,34658.152149233676,79,544.6069948375615,15.253966025159338,-529.3530288124019,0.07956821780174117,9.821078422349046e-05,-0.03351069401781047,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid__eng_log_huber_100k
d,eng_log_huber_100k,trust_region_hybrid_shrinkage,Trust-region top-x cloud + clean-preserving shrinkage,reg,1.0,,70,26,100,70,0.1223810979169175,0.28460699500279435,7.857142857142857,35654.86498622282,70,611.7376018369583,747.6068390307476,135.86923719378885,0.05205229207527484,0.0001298897360624923,-0.015843367284129575,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid_shrinkage__eng_log_huber_100k
d,eng_log_huber_100k,trust_region_hybrid_shrinkage,Trust-region top-x cloud + clean-preserving shrinkage,reg,0.5,,83,12,100,83,0.12937463909094774,0.30186431763129307,7.590361445783133,35171.37759469315,70,611.7376018369583,747.6068390307476,135.86923719378885,0.05205229207527484,0.0001298897360624923,-0.015843367284129575,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid_shrinkage__eng_log_huber_100k
d,eng_log_huber_100k,trust_region_hybrid_shrinkage,Trust-region top-x cloud + clean-preserving shrinkage,reg,0.1,,94,1,100,94,0.1655524949096623,0.3922920561858111,7.787234042553192,34658.23938483331,70,611.7376018369583,747.6068390307476,135.86923719378885,0.05205229207527484,0.0001298897360624923,-0.015843367284129575,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid_shrinkage__eng_log_huber_100k
d,eng_log_huber_100k,trust_region_hybrid_shrinkage,Trust-region top-x cloud + clean-preserving shrinkage,reg,0.01,,95,0,100,95,0.20481924462986723,0.4899068895555967,7.71578947368421,34658.152149233676,70,611.7376018369583,747.6068390307476,135.86923719378885,0.05205229207527484,0.0001298897360624923,-0.015843367284129575,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__trust_region_hybrid_shrinkage__eng_log_huber_100k
e,raw_log_huber_100k,all,"All (best of 6, CAD-adjudicated)",reg,1.0,,90,10,100,90,0.20218796213254134,0.3094328936138108,2.6333333333333333,189.6864042099434,90,473.811912127152,13.754971152931057,-460.0569409742206,0.01696279004764545,-9.090701598569814e-06,-622.8954569935291,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__all__raw_log_huber_100k
e,raw_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,1.0,,53,35,100,53,0.17754140287093337,0.17754140287093337,1.0,36615.65989233938,53,804.6332188268307,15.055013146041738,-789.5782056807881,-0.02096658660654782,-5.564203139979249e-06,-0.03493350730561872,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__full_coordinate_grid_refine__raw_log_huber_100k
