row,base_size,total_labels,mean_bac,std_bac,n_splits
row2_diverse_uncertainty,750,750,0.8924395147982891,0.011425525615426636,8
row2_diverse_uncertainty,750,1000,0.9514272312942232,0.010253803790639553,8
row2_diverse_uncertainty,750,1250,0.9790475829021016,0.003916573203273307,8
row2_diverse_uncertainty,750,1500,0.9817993666833879,0.006208244153105292,8
row2_diverse_uncertainty,750,1750,0.9895182222911607,0.0017517517159924949,8
row2_diverse_uncertainty,750,2000,0.9923308543008765,0.002400645342771736,8
row2_diverse_uncertainty,750,2250,0.9941443377732602,0.0009892639548460744,8
row2_diverse_uncertainty,750,2500,0.9944448661421481,0.0017107074839850227,8
row2_diverse_uncertainty,750,2750,0.9924876158385257,0.003274382704993692,8
row2_diverse_uncertainty,750,3000,0.9906493805444081,0.0027402181779146314,8
row2_diverse_uncertainty,750,3250,0.9889848205327911,0.002415650421892764,8
row2_diverse_uncertainty,750,3500,0.9883489049794064,0.003370776274930515,8
row2_diverse_uncertainty,1000,1000,0.9100644619944028,0.013618193117579558,8
row2_diverse_uncertainty,1000,1250,0.9627920302434259,0.007158232384888237,8
row2_diverse_uncertainty,1000,1500,0.9756984551562995,0.006514512318830722,8
row2_diverse_uncertainty,1000,1750,0.9855954710766712,0.004552543451671429,8
row2_diverse_uncertainty,1000,2000,0.9880974677236245,0.0027324521371867665,8
row2_diverse_uncertainty,1000,2250,0.9908053170213328,0.0022323174038188535,8
row2_diverse_uncertainty,1000,2500,0.9933174206621607,0.002087619460616679,8
row2_diverse_uncertainty,1000,2750,0.9942678906167495,0.0012239566193920014,8
row2_diverse_uncertainty,1000,3000,0.9940554374801985,0.0018878011664149792,8
row2_diverse_uncertainty,1000,3250,0.9933225772916887,0.0019355620006475307,8
row2_diverse_uncertainty,1000,3500,0.991493005135178,0.0021957142572446567,8
row2_diverse_uncertainty,1500,1500,0.9427869891223994,0.01321950453293876,8
row2_diverse_uncertainty,1500,1750,0.9731908893494561,0.0034233306736013137,8
