accuracy,balanced_accuracy,base_size,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,roc_auc,round_idx,row,seed_split,status,total_labels,train_pos_rate,wall_s
0.9932,0.9945711004329918,0,0.006588701655455392,0.9828802921548636,0.9662046449269738,0.9442508710801394,0.992818671454219,0.9963235294117647,0.999641098584856,8,row1_uncertainty_disagreement,7,ok,2000,0.8912,3.2150250000413507
0.9942,0.993518322948569,0,0.00485330284522608,0.9852942951297038,0.9708100912726287,0.9557522123893806,0.9943895870736086,0.9926470588235294,0.9997685704667862,9,row1_uncertainty_disagreement,7,ok,2250,0.8912,4.150853666011244
0.9952,0.9973070017953322,0,0.004041063484263329,0.9878584980800238,0.9760061781448794,0.9577464788732394,0.9946140035906643,1.0,0.9998948047576303,10,row1_uncertainty_disagreement,7,ok,2500,0.8912,4.84019137499854
0.9964,0.9939457044038442,0,0.0034737546496981992,0.9907775394967242,0.9815881829074622,0.9764492753623188,0.9970825852782765,0.9908088235294118,0.9998865541503855,11,row1_uncertainty_disagreement,7,ok,2750,0.8912,4.133418040932156
0.9956,0.9934968713697327,0,0.003254636384754763,0.9887640449438202,0.9776018604197433,0.9694244604316546,0.9961849192100538,0.9908088235294118,0.9998964548790791,12,row1_uncertainty_disagreement,7,ok,3000,0.8912,3.5146346249384806
0.996,0.9953351066638505,0,0.002992572994034215,0.9898017417809177,0.9797037480467259,0.9695340501792115,0.9961849192100538,0.9944852941176471,0.9999108934417573,13,row1_uncertainty_disagreement,7,ok,3250,0.8912,4.862002415931784
0.9978,0.9947311622135389,0,0.002315329220812147,0.9943322802710077,0.9886650866512311,0.9889908256880734,0.998653500897666,0.9908088235294118,0.9999298698384201,14,row1_uncertainty_disagreement,7,ok,3500,0.8912,5.010012374958023
0.9036,0.8749075931988595,0,0.06862159115352895,0.7991124940025494,0.6215738882834011,0.5364705882352941,0.9115798922800719,0.8382352941176471,0.9562099020487907,1,row1_uncertainty_disagreement,8,ok,250,0.8912,0.966203875024803
0.9548,0.9246125514837892,0,0.036158076060282617,0.8922156830950314,0.7883778118045671,0.7461300309597523,0.9631956912028725,0.8860294117647058,0.9842722799398036,2,row1_uncertainty_disagreement,8,ok,500,0.8912,0.652990874950774
0.9744,0.9678853363607562,0,0.01801570540268743,0.9381428312953974,0.8792686171528153,0.8312101910828026,0.9762118491921006,0.9595588235294118,0.9961684179955644,3,row1_uncertainty_disagreement,8,ok,750,0.8912,1.0318536249687895
0.9826,0.980554968845707,0,0.012216508053916912,0.9572909670198884,0.9163685202069881,0.8764415156507414,0.9831687612208259,0.9779411764705882,0.9984323846235084,4,row1_uncertainty_disagreement,8,ok,1000,0.8912,1.4286581249907613
