row,base_size,total_labels,n_seeds,bac_mean,bac_std,bac_min,bac_max,acc_mean,f1_mean,mcc_mean,auc_mean
row1_uncertainty_disagreement,750,3500,8,0.9951106901467949,0.0017002113451337739,0.9924655454641462,0.9970611336994403,0.9956,0.9888007502294874,0.9777363960052283,0.9998888746336732
row1_uncertainty_disagreement,1000,1000,8,0.9144791556658569,0.012430844042662906,0.8859733076354419,0.9266669526877178,0.923075,0.8386454194368844,0.7003093397538872,0.9772754040322368
row1_uncertainty_disagreement,1000,1250,8,0.9578072196113634,0.007963253308309846,0.942610426127363,0.9676774210581899,0.957875,0.9040439639704669,0.8179654918421218,0.9926315373686503
row1_uncertainty_disagreement,1000,1500,8,0.9769690486719822,0.00407617889151871,0.9703110148906959,0.9816027959657831,0.97495,0.9405986435812907,0.8859331227160168,0.9974198288494033
row1_uncertainty_disagreement,1000,1750,8,0.9810398982865138,0.0030006610191495244,0.9757349640933572,0.9843221961136339,0.982925,0.9581757535726382,0.9182611444802379,0.9983016640649752
row1_uncertainty_disagreement,1000,2000,8,0.9848927256046045,0.003745929664376565,0.9780434840004224,0.9889821390854368,0.9835,0.9597664483079311,0.9217387846476008,0.9988249588294699
row1_uncertainty_disagreement,1000,2250,8,0.9870380897534059,0.004911531969870309,0.9796358511986483,0.9929094281339106,0.986425,0.9665336215944909,0.9345384116461426,0.9991505484178635
row1_uncertainty_disagreement,1000,2500,8,0.9898754735848558,0.0015318483256886169,0.9882923883197803,0.9931123930721302,0.989325,0.973421624989083,0.9477633563070653,0.999422560625462
row1_uncertainty_disagreement,1000,2750,8,0.9902422130768825,0.0014734521827503792,0.9883352914774528,0.9926850116168551,0.9889000000000001,0.972514588245303,0.9462083412677202,0.9993704786672298
row1_uncertainty_disagreement,1000,3000,8,0.9924878221037068,0.003474143970551259,0.9862990416094624,0.9952872531418313,0.9909250000000001,0.9773414049670363,0.9554871490109764,0.9996983371726159
row1_uncertainty_disagreement,1000,3250,8,0.9952410497412609,0.0014260208427555262,0.9925084486218185,0.9967459605026929,0.9936750000000001,0.9840626094299629,0.9685384939493933,0.9998375146035748
row1_uncertainty_disagreement,1000,3500,8,0.9955770557213011,0.0013297708926889025,0.993518322948569,0.9974192100538599,0.9933749999999999,0.983366422226708,0.967254244478623,0.9998581411216865
row1_uncertainty_disagreement,1500,1500,8,0.9495786827410497,0.010973335300641452,0.933330143098532,0.9659365429295597,0.94195,0.8751339453121338,0.7692943650014593,0.9894259701889059
row1_uncertainty_disagreement,1500,1750,8,0.9754344357244693,0.003983009820737264,0.9698737327067273,0.9831687612208259,0.9679,0.9258137602914602,0.8596503523382415,0.9966630418998839
row1_uncertainty_disagreement,1500,2000,8,0.9792006316664906,0.005467447758414986,0.9686064394339424,0.9854822314922378,0.97695,0.9448132496767765,0.8935992569203364,0.9980965333423539
row1_uncertainty_disagreement,1500,2250,8,0.9837485726449466,0.005311643577617413,0.9753554361601013,0.9906223598056817,0.982,0.9564211079464652,0.9155773055900076,0.9986216329271833
row1_uncertainty_disagreement,1500,2500,8,0.9884549252825008,0.00209806622434553,0.9850598004013096,0.9922147270039074,0.985175,0.9637776736177024,0.9296187597170154,0.9991027464621396
