accuracy,balanced_accuracy,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,replicate,roc_auc,row,status,total_labels,train_pos_rate
0.9576,0.9608805708100117,0.02856696937877856,0.9038754167363419,0.8184739907969095,0.7311977715877437,0.9566876122082585,0.9650735294117647,1,0.9938636108617593,baseline_random,ok,3000,0.8912
0.9602,0.9736360096103074,0.027352573339091326,0.9106763808870437,0.8339373809441152,0.7353342428376535,0.9564631956912029,0.9908088235294118,2,0.9959737036645898,baseline_random,ok,3000,0.8912
0.9428,0.9671015286725103,0.03813923409034208,0.8791986494577961,0.782575066724246,0.6557971014492754,0.9360412926391383,0.9981617647058824,3,0.9953792474126095,baseline_random,ok,3000,0.8912
0.9686,0.9710865719716971,0.022313672555698577,0.9265594034789886,0.859610639185088,0.787518573551263,0.9679084380610413,0.9742647058823529,4,0.9961077760323159,baseline_random,ok,3000,0.8912
0.9574,0.9736789127679797,0.029744459277158283,0.9055262696847992,0.8257008920549774,0.7203728362183754,0.9528725314183124,0.9944852941176471,5,0.9960401210529095,baseline_random,ok,3000,0.8912
0.963,0.967137831344387,0.02555729630016563,0.9150202881023535,0.8389262190703356,0.7567954220314735,0.9618491921005387,0.9724264705882353,1,0.995453915408174,baseline_random,ok,3250,0.8912
0.962,0.9746458839370578,0.02706134368089011,0.9141993407619243,0.8400083909645285,0.744475138121547,0.9584829443447038,0.9908088235294118,2,0.9966886187823423,baseline_random,ok,3250,0.8912
0.9452,0.9644134808321893,0.038566491970337576,0.8826803682295011,0.7865477995777138,0.6674937965260546,0.9398563734290843,0.9889705882352942,3,0.9936561080895554,baseline_random,ok,3250,0.8912
0.9658,0.9767778408490866,0.02473568845988304,0.9217749242246043,0.8531825347659595,0.7645390070921986,0.9627468581687613,0.9908088235294118,4,0.9961469664167283,baseline_random,ok,3250,0.8912
0.9478,0.970713644524237,0.03565510294605418,0.8881767140388952,0.7976179172485955,0.675776397515528,0.941427289048474,1.0,5,0.9962051331978035,baseline_random,ok,3250,0.8912
0.957,0.9702268586968001,0.030042939227688362,0.904261298435879,0.8223970613462493,0.7208053691275168,0.9533213644524237,0.9871323529411765,1,0.9953458324532686,baseline_random,ok,3500,0.8912
0.9696,0.9789097977611152,0.022151330878460534,0.9295454756143913,0.8668693154090591,0.7857142857142857,0.9670107719928187,0.9908088235294118,2,0.9975198674622452,baseline_random,ok,3500,0.8912
0.9458,0.9599086492765867,0.03634324017542142,0.8828642500394415,0.7848667104457819,0.672566371681416,0.9418761220825853,0.9779411764705882,3,0.9932922563100643,baseline_random,ok,3500,0.8912
0.9348,0.9593855607772732,0.04505362533637275,0.8649408258528779,0.7581060821437495,0.6267441860465116,0.9279622980251346,0.9908088235294118,4,0.9927316275477874,baseline_random,ok,3500,0.8912
0.965,0.9731013702608512,0.025519556829570134,0.919724586524281,0.8486204848027353,0.7631954350927247,0.9627468581687613,0.9834558823529411,5,0.9958878973492449,baseline_random,ok,3500,0.8912
